epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,3928.79,1.23646,1.21296,0.96438,0.73662,0.61534,0.70816,0.41862,1.41561,1.34351,1.00285,4.16e-05,4.16e-05,4.16e-05
42,4038.94,1.23397,1.16997,0.9541,0.70374,0.66487,0.71412,0.4684,1.17453,1.05281,0.93125,3.764e-05,3.764e-05,3.764e-05
43,4151.19,1.23782,1.18076,0.96265,0.61754,0.75731,0.72434,0.44001,1.31465,1.2197,0.95345,3.368e-05,3.368e-05,3.368e-05
44,4281.15,1.22039,1.12828,0.95624,0.668,0.67009,0.72968,0.44767,1.3418,1.13003,0.96338,2.972e-05,2.972e-05,2.972e-05
45,4389.1,1.19815,1.12026,0.95022,0.71053,0.62141,0.7052,0.42554,1.34498,1.33439,0.97292,2.576e-05,2.576e-05,2.576e-05
46,4486.58,1.21604,1.11774,0.94878,0.68164,0.68118,0.74393,0.45201,1.32987,1.05308,0.96074,2.18e-05,2.18e-05,2.18e-05
47,4582.59,1.19816,1.09299,0.94554,0.69725,0.67263,0.74891,0.45117,1.31773,1.03223,0.96221,1.784e-05,1.784e-05,1.784e-05
48,4680.14,1.19906,1.06653,0.94823,0.71316,0.62523,0.73568,0.44265,1.36694,1.03488,0.97767,1.388e-05,1.388e-05,1.388e-05
49,4776.71,1.18004,1.07551,0.94308,0.67812,0.72438,0.75475,0.46235,1.28446,1.00903,0.95671,9.92e-06,9.92e-06,9.92e-06
50,4871.59,1.16556,1.05972,0.94052,0.6783,0.70025,0.74269,0.44815,1.34635,1.02908,0.97215,5.96e-06,5.96e-06,5.96e-06
